throughput,delay,jitter,packet_loss,label
797.45,101.41,15.87,0.0,normal
956.64,10.0,1.0,0.77,normal
762.27,98.59,8.36,2.54,normal
907.61,60.65,9.79,0.43,normal
431.92,98.3,10.08,0.0,normal
1063.99,101.08,10.9,0.0,normal
1000.36,134.32,13.05,1.27,normal
754.87,124.14,9.82,0.87,normal
1197.77,123.86,8.16,0.0,normal
1281.27,127.75,7.96,2.04,normal
517.73,81.66,6.94,0.0,normal
771.18,71.29,13.94,0.3,normal
769.26,104.91,6.77,0.48,normal
718.03,99.28,14.23,0.0,normal
1248.84,57.64,10.09,0.85,normal
941.85,86.19,7.39,2.23,normal
920.65,68.6,13.09,0.0,normal
398.84,35.84,6.36,1.23,normal
1190.63,121.62,13.19,0.76,normal
628.22,72.21,11.06,0.73,normal
1017.98,151.95,7.02,1.81,normal
1083.21,10.0,12.64,0.57,normal
1408.2,47.73,12.73,1.22,normal
607.35,71.31,15.79,1.57,normal
100.0,115.5,14.83,0.0,macet
1055.15,85.98,12.46,0.95,normal
1540.15,82.42,4.36,0.12,normal
1371.68,24.91,22.24,0.3,normal
1062.9,23.72,2.98,0.02,normal
852.51,82.9,14.75,1.21,normal
1242.14,15.44,12.16,0.62,normal
707.94,48.72,4.13,1.09,normal
1142.91,90.04,9.38,0.47,normal
1151.64,30.71,9.61,0.0,normal
1318.06,134.21,16.53,0.55,normal
1827.9,118.96,6.43,0.6,normal
1117.72,10.0,8.69,0.86,normal
847.31,32.71,1.0,0.0,normal
992.33,10.0,18.67,0.0,normal
469.28,38.7,4.65,1.44,normal
791.59,100.66,11.63,0.09,normal
877.22,53.44,9.49,0.76,normal
842.77,88.43,9.51,0.08,normal
1045.71,10.0,14.05,0.49,normal
753.27,101.92,18.36,0.0,normal
1336.31,47.8,11.26,0.0,normal
1000.06,70.49,13.28,1.21,normal
997.21,66.29,11.64,0.0,normal
901.63,19.14,15.09,0.75,normal
1046.56,23.88,7.69,1.12,normal
1247.53,108.71,15.38,0.0,normal
739.86,85.96,15.55,0.0,normal
802.57,112.0,15.41,4.14,normal
908.88,82.99,6.7,0.0,normal
596.24,75.72,9.16,1.44,normal
754.22,10.0,11.2,3.41,normal
857.13,59.19,3.15,1.68,normal
1262.32,68.9,17.97,0.05,normal
1078.77,148.12,9.94,0.4,normal
1058.08,97.48,11.42,0.0,normal
1255.27,131.44,7.11,1.82,normal
958.79,93.9,3.37,1.35,normal
1117.14,41.55,6.98,0.0,normal
969.03,74.68,11.1,0.0,normal
1079.61,79.45,13.37,0.0,normal
825.17,32.43,10.81,1.98,normal
268.35,54.62,11.73,0.68,normal
959.72,61.77,8.31,0.82,normal
1426.82,134.22,12.48,0.0,normal
1277.86,10.0,17.41,0.0,normal
1289.62,118.23,13.52,1.94,normal
1370.84,32.53,14.05,0.56,normal
1026.6,15.12,11.47,1.86,normal
1059.19,117.2,2.48,0.0,normal
814.7,99.28,4.78,0.14,normal
905.18,120.18,12.27,1.57,normal
1184.73,102.03,9.95,1.6,normal
1361.17,152.39,12.2,1.7,normal
958.17,92.35,18.38,0.06,normal
864.94,63.74,13.63,1.42,normal
1000.16,83.72,16.29,2.16,normal
1180.36,119.74,10.47,0.34,normal
566.84,38.82,5.96,0.0,normal
311.15,43.92,9.71,2.51,macet
834.84,57.64,5.98,0.0,normal
633.79,10.0,17.79,1.44,normal
847.56,75.52,13.95,0.41,normal
955.67,10.0,12.6,0.0,normal
864.03,72.12,16.18,2.19,normal
1435.74,104.61,1.0,0.0,normal
1098.02,50.92,12.94,0.0,normal
1090.14,137.08,3.45,1.29,normal
1186.66,11.58,9.96,1.29,normal
658.35,117.65,8.44,0.0,normal
1311.73,97.01,13.31,0.72,normal
977.27,10.0,11.14,0.0,normal
1201.14,178.43,16.73,1.56,normal
678.44,67.45,6.99,0.87,normal
533.87,34.9,13.55,0.43,normal
1245.37,13.72,10.81,0.53,normal
1112.92,61.2,1.82,1.24,normal
729.38,64.9,5.41,0.46,normal
739.1,74.11,9.25,0.0,normal
1337.63,58.09,15.56,3.79,normal
643.18,95.33,12.32,2.3,normal
1492.8,54.49,4.16,0.0,normal
729.81,10.0,9.3,0.0,normal
1191.52,64.03,20.09,0.15,normal
901.41,10.0,10.56,2.12,normal
1180.96,84.15,8.36,0.0,normal
836.77,30.83,12.46,0.0,normal
951.16,76.53,13.82,0.0,normal
1012.28,122.56,7.72,0.07,normal
699.34,32.05,12.51,0.0,normal
1222.25,112.45,8.36,0.62,normal
846.04,52.66,13.6,0.0,normal
931.42,140.13,10.85,0.0,normal
701.7,55.39,12.41,1.43,normal
231.3,36.38,6.2,1.18,normal
942.69,97.49,5.89,1.33,normal
1723.78,52.57,14.73,0.23,normal
1235.38,36.34,9.6,0.0,normal
994.22,50.89,11.43,0.32,normal
921.13,68.22,8.47,1.25,normal
1006.74,123.69,14.49,0.0,normal
1164.14,10.0,6.96,1.09,normal
645.76,70.92,9.32,0.96,normal
1334.3,95.0,13.93,0.59,normal
1214.61,77.74,15.86,0.28,normal
1215.46,122.39,7.38,0.0,normal
1131.54,67.03,19.8,0.0,normal
1005.88,62.62,11.57,3.18,normal
1201.86,93.69,4.79,0.52,normal
1177.54,73.97,11.85,0.04,normal
893.79,54.38,8.09,0.53,normal
827.92,90.65,12.17,1.03,normal
1030.56,43.9,9.79,1.49,normal
1464.71,45.55,10.37,0.16,normal
628.27,48.88,5.44,1.14,normal
559.74,124.12,14.95,3.01,macet
1049.43,10.0,4.22,2.01,normal
1015.27,85.82,4.46,4.01,normal
1052.0,71.37,11.84,0.0,normal
1073.19,10.0,18.01,3.01,normal
933.04,82.39,8.24,0.0,normal
1446.96,89.03,13.5,1.03,normal
519.73,93.59,15.37,1.6,normal
751.45,10.0,14.07,0.0,normal
969.02,124.66,8.44,0.63,normal
507.04,40.49,4.54,1.87,normal
947.24,97.46,1.0,0.0,normal
1498.44,99.64,8.69,3.0,normal
1006.27,34.93,15.89,0.0,normal
1069.21,96.42,4.38,3.41,normal
621.95,54.58,13.5,2.0,normal
815.09,10.0,5.25,0.37,normal
887.44,116.71,10.53,0.0,normal
904.69,39.0,13.54,0.0,normal
1384.49,35.82,6.7,0.3,normal
1167.31,53.88,10.85,0.43,normal
666.56,80.89,7.92,2.38,normal
1073.95,67.71,13.53,3.45,normal
1149.47,91.92,11.18,0.8,normal
1342.04,16.42,10.28,0.0,normal
1474.16,40.3,17.79,0.0,normal
695.47,65.36,13.31,0.23,normal
756.74,145.92,6.55,0.0,normal
622.73,65.45,9.57,0.0,normal
929.79,113.41,9.62,3.65,normal
1139.91,71.54,10.4,0.95,normal
1296.2,50.65,22.62,0.0,normal
977.21,60.13,11.85,1.72,normal
904.05,63.26,1.0,0.0,normal
1045.53,94.15,7.29,0.0,normal
749.46,124.98,1.0,0.0,normal
1626.86,84.39,8.35,2.98,normal
517.7,117.48,1.0,0.12,macet
1055.42,31.41,5.64,0.0,normal
1607.08,53.41,2.4,2.32,normal
1002.04,41.03,11.92,0.04,normal
942.99,82.58,10.0,0.0,normal
892.77,55.64,11.51,0.02,normal
945.88,99.19,9.48,1.28,normal
1411.85,32.76,3.03,1.11,normal
336.44,71.72,12.57,3.2,macet
1460.03,97.47,19.61,0.0,normal
572.81,10.0,12.05,0.57,normal
920.0,154.87,7.87,0.0,normal
871.23,58.67,2.86,0.0,normal
1176.57,10.0,5.46,1.83,normal
520.56,76.32,12.27,1.19,normal
1138.65,71.34,15.37,0.93,normal
1607.29,66.72,11.3,1.14,normal
591.05,109.65,14.0,0.0,macet
1056.91,99.9,13.54,0.0,normal
801.41,81.92,12.53,0.56,normal
1127.77,88.01,6.71,2.24,normal
